28;"kärpännahka {@fi}";"hermeliin {@et}";"hermelin {@hu}";"ermine {@en}";"hermelijn {@nl}";"Hermelin {@de}";"hermelin {@sv}";"hermelin {@nb}";"hermelin {@nn}";"hermelin {@da}";"stráð hermelínmynstrum {@is}";"šermuonėlio kailis {@lt}";"sermuļāda {@lv}";"ermelina {@sq}";"γούνα ερμίνας {@el}";"vellus erminale {@la}";"armellino {@it}";"hermine {@fr}";"armiño {@es}";"erminis {@ca}";"arminhos {@pt}";"hermelină {@ro}";"gronostaj {@pl}";"hermelín {@cs}";"hermelín {@sk}";;"hermelin {@hr}";"хермелиново крзно {@sr}";"хермелинова {@bg}";"горностаевый мех {@ru}";"гарнастаевае {@be}";"горностаєве хутро {@uk}";"Q384324"
29;"oravannahka {@fi}";"orav [nahk] {@et}";"evet {@hu}";"vair {@en}";"vair {@nl}";"Feh {@de}";"gråverk {@sv}";"gråverk {@nb}";"gråverk {@nn}";"gråværk {@da}";"grávara {@is}";"voverės kailis {@lt}";"vāverāda {@lv}";;"γούνα σκίουρου {@el}";"varium vellus {@la}";"vaio {@it}";"vair {@fr}";"vero {@es}";"vair {@ca}";"veiros {@pt}";"sîngeap {@ro}";"futro vair {@pl}";"popelčina {@cs}";"kožušina z veveričky {@sk}";;"vjeveričin trbuščić {@hr}";"веверичије крзно {@sr}";"катерича {@bg}";"беличий мех {@ru}";;"біляче хутро {@uk}";"Q356887"
30;"ruusu {@fi}";"roosiõis {@et}";"rózsa {@hu}";"rose {@en}";"roos {@nl}";"Rose {@de}";"ros {@sv}";"rose {@nb}";"rose {@nn}";"rose {@da}";"rós {@is}";"rožė {@lt}";"roze {@lv}";"trëndafil {@sq}";"ρόδο {@el}";"rosa {@la}";"rosa {@it}";"rose {@fr}";"rosa {@es}";"rosa {@ca}";"rosa {@pt}";"trandafir {@ro}";"róża {@pl}";"růže {@cs}";"ruža {@sk}";"roza {@sl}";"ruže {@hr}";"ружа {@sr}";"роза {@bg}";"роза {@ru}";"ружа {@be}";"троянда {@uk}";"Q1469779"
31;"lilja {@fi}";"liilia {@et}";"liliom {@hu}";"fleur-de-lys {@en}";"lelie {@nl}";"Lilie {@de}";"lilja {@sv}";"lilje {@nb}";"lilje {@nn}";"lilje {@da}";"lilja {@is}";"lelija {@lt}";"lilija {@lv}";"zambak {@sq}";"κρίνος {@el}";"lilium Francicum {@la}";"giglio {@it}";"fleur de lys {@fr}";"flor de lis {@es}";"flor de lis {@ca}";"flor-de-lis {@pt}";"fleur de lis {@ro}";"lilia {@pl}";"lilie {@cs}";"ľalia {@sk}";"lilija {@sl}";"ljiljan {@hr}";"љиљан {@sr}";"лилия {@bg}";"лилия {@ru}";"лілея {@be}";"лілія {@uk}";"Q211568"
32;"leijona {@fi}";"lõvi {@et}";"oroszlán {@hu}";"lion {@en}";"leeuw {@nl}";"Löwe {@de}";"lejon {@sv}";"løve {@nb}";"løve {@nn}";"løve {@da}";"ljón {@is}";"liūtas {@lt}";"lauva {@lv}";"luan {@sq}";"λιοντάρι {@el}";"leo {@la}";"leone {@it}";"lion {@fr}";"león {@es}";"lleó {@ca}";"leão {@pt}";"leu {@ro}";"lew {@pl}";"lev {@cs}";"lev {@sk}";"lev {@sl}";"lav {@hr}";"лав {@sr}";"лъв {@bg}";"лев {@ru}";"леў {@be}";"лев {@uk}";"Q338814"
33;"kotka {@fi}";"kotkas {@et}";"sas {@hu}";"eagle {@en}";"adelaar {@nl}";"Adler {@de}";"örn {@sv}";"ørn {@nb}";"ørn {@nn}";"ørn {@da}";"arnar {@is}";"erelis {@lt}";"ērgļi {@lv}";"shqiponja {@sq}";"αετός {@el}";"aquila {@la}";"aquila {@it}";"aigle {@fr}";"águila {@es}";"àguila {@ca}";"águia {@pt}";"acvilă {@ro}";"orzeł {@pl}";"orlice {@cs}";"orol {@sk}";"orel {@sl}";"orao {@hr}";"орао {@sr}";"орел {@bg}";"орёл {@ru}";"арол {@be}";"орел {@uk}";"Q358148"
41;"polvijakoinen {@fi}";"sarikjaotatud {@et}";;"per chevron {@en}";"kepersgewijs doorsneden {@nl}";"sparrenweise geteilt {@de}";;;;"ved et sparresnit tværdelt {@da}";;;"dalīts ševrona veidā {@lv}";;"χωρισμένη με σιρίτι {@el}";"in cantherium bipartitus {@la}";"troncato in scaglione {@it}";"coupé en chevron {@fr}";"cortado en cabrio {@es}";"truncat en xebró {@ca}";"cortado em cabria {@pt}";;;;;"škarnična delitev {@sl}";"razdeljeno ševronoms {@hr}";"раздељено шевроном {@sr}";"чрез шеврон {@bg}";"разделённый стропильно {@ru}";;"поділений кроквоподібно {@uk}";"Q27305194"
42;"kaksoispolvijakoinen {@fi}";;;;;;;;;;;;;;;"in cantherium duplicem bipartitus {@la}";;"émanché de une pièce et deux demies {@fr}";;;;;;;;;;;;;;;
43;"nelijakoinen {@fi}";"neljastatud {@et}";"négyelt {@hu}";"quarterly {@en}";"gevierendeeld {@nl}";"geviert {@de}";"kvadrerad {@sv}";"kvadrert {@nb}";"firdelt {@nn}";"firdelt {@da}";"fjórskiptur {@is}";"ketvirčiuotas {@lt}";"četrdalījums {@lv}";;"κατά σταυρό {@el}";"quadripartitus {@la}";"inquartato {@it}";"écartelé {@fr}";"cuartelado {@es}";"quarterat {@ca}";"esquartelado {@pt}";"scartelat {@ro}";"w krzyż {@pl}";"čtvrcený {@cs}";"štvrtenie {@sk}";"četverjeni {@sl}";"četvorenje {@hr}";"квадрирано {@sr}";"чрез кръст {@bg}";"разделённый четверочастно {@ru}";;"поділений чотиридільно {@uk}";"Q47462185"
44;"nelilohkoinen {@fi}";"kaldneljastatud {@et}";"harántnégyelt {@hu}";"per saltire {@en}";"schuigevierendeeld {@nl}";"schräggeviert {@de}";"fyrstyckad {@sv}";"skrått firedelt {@nb}";"skrått firdelt {@nn}";"skråt firdelt {@da}";"fjórskiptur á ská {@is}";"ketvirčiuotas įžambai {@lt}";"šķērsām četrdalīts {@lv}";;;"oblique dextrorsus et sinistrorsus sectus {@la}";"inquartato in decusse {@it}";"écartelé en sautoir {@fr}";"cuartelado en sotuer {@es}";"quarterat en sautor {@ca}";"franchado {@pt}";"tăiat în curmeziș {@ro}";"w krzyż skośny {@pl}";"čtvrcený kosmo {@cs}";"šikmé štvrtenie {@sk}";;"koso rasčetvoreni {@hr}";"унакрст квадрирано {@sr}";"чрез салтир {@bg}";"скошенный четверочастно {@ru}";;"скошений чотиридільно {@uk}";"Q3799047"
45;"viirijakoinen {@fi}";"kiiljaotatud {@et}";"gerezdes {@hu}";"gyronny {@en}";"gegeerd {@nl}";"geständert {@de}";"gironnerad {@sv}";"gironnert {@nb}";"gironnert {@nn}";"gironneret {@da}";;;"ķīļu dalījums {@lv}";;"τεμνόμενες {@el}";"angulatus {@la}";"gheronato {@it}";"gironné {@fr}";"jironado {@es}";"gironat {@ca}";"gironado {@pt}";"gironat {@ro}";"promieniście {@pl}";"štenýř {@cs}";;;"stalak {@hr}";"подељено вртешком {@sr}";;"восьмиугольное {@ru}";"васьмікутнымі {@be}";"поділений клинчасто {@uk}";"Q1427250"
46;"shakkiruutuinen {@fi}";"ruuduline {@et}";"sakkozott {@hu}";"checky {@en}";"geschaakt {@nl}";"geschacht {@de}";"schackrutad {@sv}";"sjakkmønstret {@nb}";"sjakkmønstra {@nn}";"skaktavl {@da}";"köflóttur {@is}";"šachmatinis {@lt}";"šaha dalījums {@lv}";;"σκακιέρα {@el}";"tessellatus {@la}";"scaccato {@it}";"échiqueté {@fr}";"jaquelado {@es}";"escacat {@ca}";"xadrezado {@pt}";"tablă de șah {@ro}";"szachownica {@pl}";"šachovnice {@cs}";;"šahirani {@sl}";"šah {@hr}";"шаховница {@sr}";;"разделённый шахматно {@ru}";"шахоўніца {@be}";"поділений шахово {@uk}";"Q1516264"
47;"vinoruutuinen {@fi}";"rombiline {@et}";"harántsakkozott {@hu}";"lozengy {@en}";"ruitvormig geschakeerd {@nl}";"schräggewürfelt {@de}";"snedrutat {@sv}";"rutemønstret {@nb}";"rutemønstra {@nn}";"skråtavl {@da}";"skáköflóttur {@is}";;"šķērsais šaha dalījums {@lv}";;;"rhombulis interstinctus {@la}";"losangato {@it}";"losangé {@fr}";"losanjeado {@es}";"losanjat {@ca}";"lisonjado {@pt}";;"rautowanie {@pl}";"pokosné čtverce {@cs}";;;;;;"разделённый косошахматно {@ru}";;"поділений косошахово {@uk}";"Q3940791"
48;"kärkiruutuinen {@fi}";;"rutás {@hu}";"fusilly {@en}";"spitsgeruit {@nl}";"geweckt {@de}";"spetsrutad {@sv}";"spissrutet {@nb}";"spissruta {@nn}";"rudet {@da}";"tíglóttur {@is}";;"dalīts ar vārpstiņam pāļa virzienā {@lv}";;;"fusatus {@la}";"fusato {@it}";"fuselé {@fr}";"fuselado {@es}";"fusat {@ca}";"fuselado em pala {@pt}";;"pole rombowe {@pl}";"routy postavené {@cs}";;;;;;"разделённый веретёнчато {@ru}";;"поділений веретеноподібно {@uk}";"Q3754881"
