vastuu,lc,lpref,lalts,lLTs,PÄÄTÖS,KOMMENTIT,yc,ypref,yLTs,tyyppi
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L348,nutukkaat,,jalkineet,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L268,obinugrilaiset kansat,,suomalais-ugrilaiset kansat,exactMatch,,http://www.yso.fi/onto/yso/p10585,obinugrilaiset kansat,suomalais-ugrilaiset kansat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L267,obinugrilaiset kielet,,,exactMatch,,http://www.yso.fi/onto/yso/p8209,obinugrilaiset kielet,ugrilaiset kielet,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L200,ohjelmapalvelut,,matkailu,exactMatch,"Lapponicassa rajattu matkailuun, YSOssa hiukan laajempi ala",http://www.yso.fi/onto/yso/p837,ohjelmapalvelut,palvelut,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L894,oikeushistoria,,,exactMatch,,http://www.yso.fi/onto/yso/p7480,oikeushistoria,historia; oikeustiede,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L626,oikeuslaitos,,,exactMatch,,http://www.yso.fi/onto/yso/p1500,oikeuslaitos,organisaatiot (järjestelmät),K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L895,oikeusolot,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L308,olkityöt,,,exactMatch,,http://www.yso.fi/onto/yso/p7070,olkityöt,käsityöt (objektit),K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L897,omakustanteet,,,exactMatch,,http://www.yso.fi/onto/yso/p2044,omakustanteet,julkaisut,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L142,oppilasasuntolat,,asuntolat,exactMatch,,http://www.yso.fi/onto/yso/p3141,oppilasasuntolat,asuntolat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L899,ornamentiikka,,,exactMatch,,http://www.yso.fi/onto/yso/p10008,ornamentiikka,koristetaide,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L900,ortodoksinen kirkko,,,exactMatch,,http://www.yso.fi/onto/yso/p18123,ortodoksinen kirkko,kirkot (organisaatiot),K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L904,otsoni,,,exactMatch,,http://www.yso.fi/onto/yso/p11516,otsoni,epämetallit,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L905,otsonikato,,,exactMatch,,http://www.yso.fi/onto/yso/p11517,otsonikato,fysikaaliset tapahtumat,K
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L906,Ounasjoki-liike,,,ei löydy,,,,,
Osma,http://urn.fi/URN:NBN:fi:au:lapponica:L907,Pahtavaara,,kaivokset,ei löydy,,,,,
