lc ,lpref ,
http://urn.fi/URN:NBN:fi:au:lapponica:L194 ,eräelämä ,meahccejohtin
http://urn.fi/URN:NBN:fi:au:lapponica:L195 ,eräkertomukset ,meahccejohtinmuitalusat
http://urn.fi/URN:NBN:fi:au:lapponica:L196 ,eräkirjallisuus ,meahccejohtingirjjálašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L157 ,eräkämpät ,meahccegámppát
http://urn.fi/URN:NBN:fi:au:lapponica:L197 ,Erämaaliike ,Meahcceguovlolihkadus
http://urn.fi/URN:NBN:fi:au:lapponica:L198 ,erämaat ,meahcceguovllut
http://urn.fi/URN:NBN:fi:au:lapponica:L199 ,eräoppaat ,meahcceoahpisteaddjit
http://urn.fi/URN:NBN:fi:au:lapponica:L156 ,eräretkeily ,meahccevánddardeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L105 ,esihistoria ,ovdahistorjá
http://urn.fi/URN:NBN:fi:au:lapponica:L203 ,esikoislestadiolaisuus ,esikoislestadiolašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L13 ,eskimokielet ,inuihtagielat
http://urn.fi/URN:NBN:fi:au:lapponica:L205 ,eskimokielet : Grönlanti ,inuihtagielat : Ruonáeana (Kalaallit Nunaat)
http://urn.fi/URN:NBN:fi:au:lapponica:L206 ,eskimot ,eskimot
http://urn.fi/URN:NBN:fi:au:lapponica:L1155 ,Etelämanner ,Lullinannán
http://urn.fi/URN:NBN:fi:au:lapponica:L99 ,etelänapa ,lullipola
http://urn.fi/URN:NBN:fi:au:lapponica:L207 ,eteläsaame ,lullisápmi
http://urn.fi/URN:NBN:fi:au:lapponica:L208 ,eteläsaamelaiset ,lullisámit
http://urn.fi/URN:NBN:fi:au:lapponica:L192 ,etiäiset ,ovdasaččat
http://urn.fi/URN:NBN:fi:au:lapponica:L209 ,etninen rock ,etnihkalaš rock
http://urn.fi/URN:NBN:fi:au:lapponica:L211 ,etninen syrjintä ,etnihkalaš vealaheapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L212 ,etninen taide ,etnihkalaš dáidda
http://urn.fi/URN:NBN:fi:au:lapponica:L32 ,etniset ryhmät ,etnihkalaš joavkkut
http://urn.fi/URN:NBN:fi:au:lapponica:L213 ,etniset uskonnot ,etnihkalaš oskkut
http://urn.fi/URN:NBN:fi:au:lapponica:L33 ,etniset vähemmistöt ,etnihkalaš vehádagat
http://urn.fi/URN:NBN:fi:au:lapponica:L220 ,etnisyys ,etnihkalašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L224 ,etnogeneesi ,etnogenesa
http://urn.fi/URN:NBN:fi:au:lapponica:L226 ,etnografia ,etnografiija
http://urn.fi/URN:NBN:fi:au:lapponica:L228 ,etnohistoria ,etnohistorjá
http://urn.fi/URN:NBN:fi:au:lapponica:L230 ,etnologia ,etnologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L231 ,etnomusiikki ,etnomusihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L232 ,etnomusikologia ,etnomusikologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L235 ,etnopsykologia ,etnopsykologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L236 ,evakko ,eváhkko
http://urn.fi/URN:NBN:fi:au:lapponica:L241 ,evakuointi ,evakueren
http://urn.fi/URN:NBN:fi:au:lapponica:L19 ,evenkit ,eveaŋggat
http://urn.fi/URN:NBN:fi:au:lapponica:L243 ,folklore KÄ kansanrunous ,folklore GE álbmotdikten
http://urn.fi/URN:NBN:fi:au:lapponica:L244 ,folklorismi ,folklorisma
http://urn.fi/URN:NBN:fi:au:lapponica:L246 ,folkloristiikka ,folkloristihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L1156 ,Frans Joosefin maa ,Frans Jovsseha eana
http://urn.fi/URN:NBN:fi:au:lapponica:L247 ,freestyle ,freestyle
http://urn.fi/URN:NBN:fi:au:lapponica:L248 ,glasiaaligeologia ,glasiálageologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L251 ,glasiologia ,glasiologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L252 ,grönlannin kieli ,Ruonáeatnama giella
http://urn.fi/URN:NBN:fi:au:lapponica:L1172 ,Grönlanninmeri ,Ruonáeanamearra
http://urn.fi/URN:NBN:fi:au:lapponica:L1157 ,Grönlanti ,Ruonáeana (Kalaallit Nunaat)
http://urn.fi/URN:NBN:fi:au:lapponica:L253 ,grönlantilaiset ,ruonáeatnanlaččat
http://urn.fi/URN:NBN:fi:au:lapponica:L254 ,haahka ,hávda
http://urn.fi/URN:NBN:fi:au:lapponica:L56 ,hajautus ,háddjen
http://urn.fi/URN:NBN:fi:au:lapponica:L161 ,hakkuut ,čuohppamat
http://urn.fi/URN:NBN:fi:au:lapponica:L256 ,halla ,suoldni
http://urn.fi/URN:NBN:fi:au:lapponica:L259 ,haltijat ,háldit
http://urn.fi/URN:NBN:fi:au:lapponica:L262 ,hanhet ,čuotnjágat
http://urn.fi/URN:NBN:fi:au:lapponica:L1173 ,Hanti-Mansia ,Hanti-Mansiguovlu
http://urn.fi/URN:NBN:fi:au:lapponica:L266 ,hantin kieli ,hantigiella
http://urn.fi/URN:NBN:fi:au:lapponica:L20 ,hantit ,hantit
http://urn.fi/URN:NBN:fi:au:lapponica:L269 ,hapan laskeuma ,suvrra luoitin
http://urn.fi/URN:NBN:fi:au:lapponica:L270 ,happamoituminen ,suvrun
http://urn.fi/URN:NBN:fi:au:lapponica:L271 ,harjus ,hárri
http://urn.fi/URN:NBN:fi:au:lapponica:L89 ,haukat ,fállit
http://urn.fi/URN:NBN:fi:au:lapponica:L277 ,havumetsät ,goahccevuovddit
http://urn.fi/URN:NBN:fi:au:lapponica:L280 ,helmenpyynti ,bearalbivdu
http://urn.fi/URN:NBN:fi:au:lapponica:L282 ,helmikirjonta ,bearalherven
http://urn.fi/URN:NBN:fi:au:lapponica:L284 ,henkilönnimet ,olmmošnamat
http://urn.fi/URN:NBN:fi:au:lapponica:L286 ,herrnhutilaisuus ,herrnhutalašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L288 ,herätysliikkeet ,morránanlihkadusat
http://urn.fi/URN:NBN:fi:au:lapponica:L290 ,hiihto ,čuoigan
http://urn.fi/URN:NBN:fi:au:lapponica:L293 ,hiihtohissit ,čuoiganhissat
http://urn.fi/URN:NBN:fi:au:lapponica:L294 ,hiihtokeskukset ,čuoiganguovddážat
http://urn.fi/URN:NBN:fi:au:lapponica:L296 ,hiihtoladut ,čuoiganláhtut
http://urn.fi/URN:NBN:fi:au:lapponica:L91 ,hiihtolajit ,čuoiganšlájat
http://urn.fi/URN:NBN:fi:au:lapponica:L297 ,hiihtosuunnistus ,čuoigandádjadeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L300 ,hiiripöllö ,sáhpánskuolfi
http://urn.fi/URN:NBN:fi:au:lapponica:L302 ,hilla ,luomi
http://urn.fi/URN:NBN:fi:au:lapponica:L306 ,himmelit ,himmelat
http://urn.fi/URN:NBN:fi:au:lapponica:L309 ,hopea ,silba
http://urn.fi/URN:NBN:fi:au:lapponica:L310 ,hopeatyöt ,silbaduojit
http://urn.fi/URN:NBN:fi:au:lapponica:L1158 ,Huippuvuoret ,Svalbárda
http://urn.fi/URN:NBN:fi:au:lapponica:L311 ,huippuvuortenpeura ,svalbárddagoddi
http://urn.fi/URN:NBN:fi:au:lapponica:L315 ,huurre ,bihci
http://urn.fi/URN:NBN:fi:au:lapponica:L318 ,hylkeenpyynti ,njuorjjobivdu
http://urn.fi/URN:NBN:fi:au:lapponica:L319 ,hylkeet ,njurjot
http://urn.fi/URN:NBN:fi:au:lapponica:L320 ,hyttyset ,
http://urn.fi/URN:NBN:fi:au:lapponica:L321 ,identiteetti ,identitehta
http://urn.fi/URN:NBN:fi:au:lapponica:L137 ,iglut ,iglut
http://urn.fi/URN:NBN:fi:au:lapponica:L323 ,ilman saastuminen ,áimmu nuoskun
http://urn.fi/URN:NBN:fi:au:lapponica:L324 ,ilmanlaatu ,áimmu kvalitehta
http://urn.fi/URN:NBN:fi:au:lapponica:L325 ,ilmansuojelu ,áimmusuodjaleami
http://urn.fi/URN:NBN:fi:au:lapponica:L326 ,ilmasto ,dálkkádat
http://urn.fi/URN:NBN:fi:au:lapponica:L328 ,ilmastonmuutokset ,dálkkádatnuppástusat
http://urn.fi/URN:NBN:fi:au:lapponica:L330 ,ilves ,albbas
http://urn.fi/URN:NBN:fi:au:lapponica:L331 ,inarinsaame ,anárašgiella
http://urn.fi/URN:NBN:fi:au:lapponica:L332 ,inarinsaamelaiset ,anáraččat
http://urn.fi/URN:NBN:fi:au:lapponica:L335 ,inughut ,inughut
http://urn.fi/URN:NBN:fi:au:lapponica:L16 ,inuitit ,inuihtat
http://urn.fi/URN:NBN:fi:au:lapponica:L337 ,isojako ,suorrajuohku
http://urn.fi/URN:NBN:fi:au:lapponica:L339 ,itsehallinto ,iešstivrejupmi
http://urn.fi/URN:NBN:fi:au:lapponica:L341 ,itsemäärääminen ,iešmearridanvuoigatvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L1174 ,Itä-Siperian meri ,Nuorta-Sibirjjá mearra
http://urn.fi/URN:NBN:fi:au:lapponica:L342 ,itäsaamelaiset ,nuortasámit
http://urn.fi/URN:NBN:fi:au:lapponica:L1175 ,Jakutia ,Jakuhttaguovlu
http://urn.fi/URN:NBN:fi:au:lapponica:L21 ,jakuutit ,jakuhtat (sahalaččat)
http://urn.fi/URN:NBN:fi:au:lapponica:L345 ,jalkineet ,gápmagat
http://urn.fi/URN:NBN:fi:au:lapponica:L1177 ,Jamalin Nenetsia ,Jamalnjárgga Njenecaguovlu
http://urn.fi/URN:NBN:fi:au:lapponica:L1179 ,Jamalin niemimaa ,Jamalnjárga
http://urn.fi/URN:NBN:fi:au:lapponica:L1159 ,Jan Mayen ,Jan Mayen
http://urn.fi/URN:NBN:fi:au:lapponica:L351 ,jatulintarhat ,jatulagárddit
http://urn.fi/URN:NBN:fi:au:lapponica:L353 ,jatulit ,jatulat
http://urn.fi/URN:NBN:fi:au:lapponica:L355 ,jeniseinsamojedit ,jeniseisamojedat
http://urn.fi/URN:NBN:fi:au:lapponica:L356 ,joiut ,luođit
http://urn.fi/URN:NBN:fi:au:lapponica:L361 ,jokisaamelaiset ,johkasámit
http://urn.fi/URN:NBN:fi:au:lapponica:L362 ,joppaus ,
http://urn.fi/URN:NBN:fi:au:lapponica:L363 ,joulu ,juovllat
http://urn.fi/URN:NBN:fi:au:lapponica:L364 ,jouluevankeliumi ,juovlaevangelium
http://urn.fi/URN:NBN:fi:au:lapponica:L365 ,joulukertomukset ,juovlamuitalusat
http://urn.fi/URN:NBN:fi:au:lapponica:L307 ,joulukoristeet ,juovlačiŋat
http://urn.fi/URN:NBN:fi:au:lapponica:L366 ,joulukortit ,juovlagoarttat
http://urn.fi/URN:NBN:fi:au:lapponica:L367 ,joulukuuset ,juovlaguosat
http://urn.fi/URN:NBN:fi:au:lapponica:L368 ,joululaulut ,juovlalávlagat
http://urn.fi/URN:NBN:fi:au:lapponica:L369 ,joululehdet ,juovlabláđit
http://urn.fi/URN:NBN:fi:au:lapponica:L370 ,joulunäytelmät ,juovlačájálmasat
http://urn.fi/URN:NBN:fi:au:lapponica:L372 ,joulupukit ,juovlastálut
http://urn.fi/URN:NBN:fi:au:lapponica:L373 ,joulurunot ,juovladivttat
http://urn.fi/URN:NBN:fi:au:lapponica:L374 ,joutsenet ,njuvččat
http://urn.fi/URN:NBN:fi:au:lapponica:L214 ,jumalat ,ipmilat
http://urn.fi/URN:NBN:fi:au:lapponica:L376 ,jurakkisamojedit ,juráhkkasamojedat
http://urn.fi/URN:NBN:fi:au:lapponica:L377 ,jutaminen ,johtin
http://urn.fi/URN:NBN:fi:au:lapponica:L381 ,juurityöt ,veaddeduojit
http://urn.fi/URN:NBN:fi:au:lapponica:L383 ,jäkälät ,jeahkálat
http://urn.fi/URN:NBN:fi:au:lapponica:L385 ,jälleenrakennus ,ođđasithuksendoaibma
http://urn.fi/URN:NBN:fi:au:lapponica:L388 ,jänkäkurppa ,uhcameahkástat
http://urn.fi/URN:NBN:fi:au:lapponica:L333 ,järvisaamelaiset ,jávresámit
http://urn.fi/URN:NBN:fi:au:lapponica:L389 ,jätkänkynttilä ,
http://urn.fi/URN:NBN:fi:au:lapponica:L391 ,jätkät ,jeatkkát
http://urn.fi/URN:NBN:fi:au:lapponica:L354 ,jättiläiset ,jiehtanasat
http://urn.fi/URN:NBN:fi:au:lapponica:L395 ,jää ,jiekŋa
http://urn.fi/URN:NBN:fi:au:lapponica:L397 ,jääkarhu ,jiekŋaguovža
http://urn.fi/URN:NBN:fi:au:lapponica:L249 ,jääkaudet ,jiekŋaáiggit
http://urn.fi/URN:NBN:fi:au:lapponica:L399 ,jääkausigeologia ,jiekŋaáigegeologiija
http://urn.fi/URN:NBN:fi:au:lapponica:L400 ,Jäämeren kysymys ,Jiekŋameara gažaldat
http://urn.fi/URN:NBN:fi:au:lapponica:L1180 ,Jäämeri ,Jiekŋamearra
http://urn.fi/URN:NBN:fi:au:lapponica:L401 ,jäänmurtajat ,jiekŋadoajárat
http://urn.fi/URN:NBN:fi:au:lapponica:L402 ,jäänveisto ,jiekŋačuollandáidu
http://urn.fi/URN:NBN:fi:au:lapponica:L405 ,jääpeite ,jiekŋagovččas
http://urn.fi/URN:NBN:fi:au:lapponica:L406 ,jääpurjehdus ,jieŋamielborjjasteapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L407 ,jäätiköntutkimus ,jiehkkedutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L408 ,jäätiköt ,jiehkit
http://urn.fi/URN:NBN:fi:au:lapponica:L409 ,jäätutkimus ,jiekŋadutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L410 ,jäätyminen ,jiekŋun
http://urn.fi/URN:NBN:fi:au:lapponica:L411 ,jäävuoret ,jiekŋavárit
http://urn.fi/URN:NBN:fi:au:lapponica:L153 ,kaamos ,skábma
http://urn.fi/URN:NBN:fi:au:lapponica:L116 ,kaamosmasennus ,skábmašlundun
http://urn.fi/URN:NBN:fi:au:lapponica:L412 ,kaarnikka ,čáhppesmuorji
http://urn.fi/URN:NBN:fi:au:lapponica:L414 ,kaasunporaus ,gássabohkan
http://urn.fi/URN:NBN:fi:au:lapponica:L417 ,kainulaiset ,gáidnolaččat
http://urn.fi/URN:NBN:fi:au:lapponica:L106 ,kaivaukset ,roggamat
http://urn.fi/URN:NBN:fi:au:lapponica:L166 ,kaivokset ,ruvkket
http://urn.fi/URN:NBN:fi:au:lapponica:L435 ,kaivostoiminta ,ruvkedoaibma
http://urn.fi/URN:NBN:fi:au:lapponica:L436 ,kajakit ,kajáhkat
http://urn.fi/URN:NBN:fi:au:lapponica:L438 ,kaksikielisyys ,guvttegielalašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L441 ,kalajumalat ,guolleipmilat
http://urn.fi/URN:NBN:fi:au:lapponica:L443 ,kalakannat ,guollenálit
http://urn.fi/URN:NBN:fi:au:lapponica:L445 ,kalanistutus ,guollegilvin
http://urn.fi/URN:NBN:fi:au:lapponica:L446 ,kalanviljely ,guollešaddadeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L447 ,kalaportaat ,guolleráhpat
http://urn.fi/URN:NBN:fi:au:lapponica:L334 ,kalastajasaamelaiset ,guolásteaddjisámit
http://urn.fi/URN:NBN:fi:au:lapponica:L448 ,kalastajat ,guolásteaddjit
http://urn.fi/URN:NBN:fi:au:lapponica:L86 ,kalastus ,guolástus
http://urn.fi/URN:NBN:fi:au:lapponica:L458 ,kalastuskunnat ,guolástangottit
http://urn.fi/URN:NBN:fi:au:lapponica:L459 ,kalastusmatkailu ,guolástanturisma
http://urn.fi/URN:NBN:fi:au:lapponica:L460 ,kalastusoikeus ,guolástanvuoigatvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L461 ,kalastuspaikat ,guolástanbáikkit
http://urn.fi/URN:NBN:fi:au:lapponica:L462 ,kalastusvälineet ,guolástanneavvut
http://urn.fi/URN:NBN:fi:au:lapponica:L272 ,kalat ,guolit
http://urn.fi/URN:NBN:fi:au:lapponica:L478 ,kalatalous ,guolledoallu
http://urn.fi/URN:NBN:fi:au:lapponica:L479 ,kalateollisuus ,guolleindustriija
http://urn.fi/URN:NBN:fi:au:lapponica:L480 ,kalatiet ,guollejohtolagat
http://urn.fi/URN:NBN:fi:au:lapponica:L481 ,kalavedet ,guollečázit
http://urn.fi/URN:NBN:fi:au:lapponica:L482 ,kalliokiipeily ,báktegavccodeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L484 ,kalliotaide ,báktedáidda
http://urn.fi/URN:NBN:fi:au:lapponica:L346 ,kallokkaat ,gállohat
http://urn.fi/URN:NBN:fi:au:lapponica:L138 ,kammit ,gámmet
http://urn.fi/URN:NBN:fi:au:lapponica:L437 ,kanootit ,kanohtat
http://urn.fi/URN:NBN:fi:au:lapponica:L485 ,kanoottiretkeily ,kanohttavánddardeapmi
http://urn.fi/URN:NBN:fi:au:lapponica:L163 ,kansainvälinen yhteistyö ,riikkaidgaskasaš ovttasbargu
http://urn.fi/URN:NBN:fi:au:lapponica:L222 ,kansallinen identiteetti ,čearddalaš identitehta
http://urn.fi/URN:NBN:fi:au:lapponica:L218 ,kansalliset vähemmistöt ,čearddalaš vehádagat
http://urn.fi/URN:NBN:fi:au:lapponica:L223 ,kansallisuus ,čearddalašvuohta
http://urn.fi/URN:NBN:fi:au:lapponica:L492 ,kansallisuusliikkeet ,čearddalašvuođalihkadusat
http://urn.fi/URN:NBN:fi:au:lapponica:L493 ,kansallisuuspolitiikka ,čearddalašvuođapolitihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L495 ,kansanelämä ,álbmoteallin
http://urn.fi/URN:NBN:fi:au:lapponica:L358 ,kansanlaulut ,álbmotlávlagat
http://urn.fi/URN:NBN:fi:au:lapponica:L499 ,kansanlääkintä ,álbmotdálkun
http://urn.fi/URN:NBN:fi:au:lapponica:L503 ,kansanmusiikintutkimus ,álbmotmusihka dutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L233 ,kansanmusiikki ,álbmotmusihkka
http://urn.fi/URN:NBN:fi:au:lapponica:L506 ,kansanmusiikki : inuitit ,álbmotmusihkka : inuihtat
http://urn.fi/URN:NBN:fi:au:lapponica:L357 ,kansanmusiikki : saamelaiset ,álbmotmusihkka : sámit
http://urn.fi/URN:NBN:fi:au:lapponica:L508 ,kansanopetus ,álbmotoahpahus
http://urn.fi/URN:NBN:fi:au:lapponica:L245 ,kansanperinne ,álbmotárbi
http://urn.fi/URN:NBN:fi:au:lapponica:L519 ,kansanpuvut : saamelaiset ,čeardabiktasat : sámit
http://urn.fi/URN:NBN:fi:au:lapponica:L521 ,kansanrunoudentutkimus ,álbmotdiktendutkan
http://urn.fi/URN:NBN:fi:au:lapponica:L511 ,kansanrunous ,álbmotdikten
http://urn.fi/URN:NBN:fi:au:lapponica:L522 ,kansansadut ,álbmotmáidnasat
http://urn.fi/URN:NBN:fi:au:lapponica:L514 ,kansantaide ,álbmotdáidda
http://urn.fi/URN:NBN:fi:au:lapponica:L524 ,kansantanssit : inuitit ,álbmotdánsumat : inuihtat
http://urn.fi/URN:NBN:fi:au:lapponica:L526 ,kansantarinat ,álbmotmuitalusat
http://urn.fi/URN:NBN:fi:au:lapponica:L496 ,kansantavat ,álbmotvierut
http://urn.fi/URN:NBN:fi:au:lapponica:L191 ,kansanusko ,álbmotosku
