"lang","code","iso6391code"
"http://lexvo.org/id/iso639-3/cre","cre","cr"
"http://lexvo.org/id/iso639-3/mus","mus",
"http://lexvo.org/id/iso639-3/crh","crh",
"http://lexvo.org/id/iso639-5/crp","crp",
"http://lexvo.org/id/iso639-3/csb","csb",
"http://lexvo.org/id/iso639-5/cus","cus",
"http://lexvo.org/id/iso639-3/dak","dak",
"http://lexvo.org/id/iso639-3/dar","dar",
"http://lexvo.org/id/iso639-5/day","day",
"http://lexvo.org/id/iso639-3/del","del",
"http://lexvo.org/id/iso639-3/dgr","dgr",
"http://lexvo.org/id/iso639-3/div","div","dv"
"http://lexvo.org/id/iso639-3/din","din",
"http://lexvo.org/id/iso639-3/doi","doi",
"http://lexvo.org/id/iso639-5/dra","dra",
"http://lexvo.org/id/iso639-3/dsb","dsb",
"http://lexvo.org/id/iso639-3/dua","dua",
"http://lexvo.org/id/iso639-3/dum","dum",
"http://lexvo.org/id/iso639-3/dyu","dyu",
"http://lexvo.org/id/iso639-3/dzo","dzo","dz"
"http://lexvo.org/id/iso639-3/frs","frs",
"http://lexvo.org/id/iso639-3/ewe","ewe","ee"
"http://lexvo.org/id/iso639-3/efi","efi",
"http://lexvo.org/id/iso639-3/eka","eka",
"http://lexvo.org/id/iso639-3/elx","elx",
"http://lexvo.org/id/iso639-3/gez","gez",
"http://lexvo.org/id/iso639-3/ewo","ewo",
"http://lexvo.org/id/iso639-3/fan","fan",
"http://lexvo.org/id/iso639-3/fao","fao","fo"
"http://lexvo.org/id/iso639-3/fat","fat",
"http://lexvo.org/id/iso639-3/ful","ful","ff"
"http://lexvo.org/id/iso639-3/fij","fij","fj"
"http://lexvo.org/id/iso639-3/frr","frr",
"http://lexvo.org/id/iso639-3/fon","fon",
"http://lexvo.org/id/iso639-3/fry","fry","fy"
"http://lexvo.org/id/iso639-3/fur","fur",
"http://lexvo.org/id/iso639-3/gaa","gaa",
"http://lexvo.org/id/iso639-3/gla","gla","gd"
"http://lexvo.org/id/iso639-3/lug","lug","lg"
"http://lexvo.org/id/iso639-3/gay","gay",
"http://lexvo.org/id/iso639-3/gba","gba",
"http://lexvo.org/id/iso639-3/gil","gil",
"http://lexvo.org/id/iso639-3/glv","glv","gv"
"http://lexvo.org/id/iso639-3/grn","grn","gn"
"http://lexvo.org/id/iso639-3/goh","goh",
"http://lexvo.org/id/iso639-3/gon","gon",
"http://lexvo.org/id/iso639-3/gor","gor",
"http://lexvo.org/id/iso639-3/got","got",
"http://lexvo.org/id/iso639-3/grb","grb",
"http://lexvo.org/id/iso639-3/kal","kal","kl"
"http://lexvo.org/id/iso639-3/guj","guj","gu"
"http://lexvo.org/id/iso639-3/gwi","gwi",
"http://lexvo.org/id/iso639-3/hau","hau","ha"
"http://lexvo.org/id/iso639-3/hai","hai",
"http://lexvo.org/id/iso639-3/her","her","hz"
"http://lexvo.org/id/iso639-3/hil","hil",
"http://lexvo.org/id/iso639-3/hit","hit",
"http://lexvo.org/id/iso639-3/hmn","hmn",
"http://lexvo.org/id/iso639-3/hmo","hmo","ho"
"http://lexvo.org/id/iso639-3/hsb","hsb",
"http://lexvo.org/id/iso639-3/hup","hup",
"http://lexvo.org/id/iso639-3/ina","ina","ia"
"http://lexvo.org/id/iso639-3/iba","iba",
"http://lexvo.org/id/iso639-3/ibo","ibo","ig"
"http://lexvo.org/id/iso639-3/ido","ido","io"
"http://lexvo.org/id/iso639-3/ile","ile","ie"
"http://lexvo.org/id/iso639-3/iii","iii","ii"
"http://lexvo.org/id/iso639-5/ijo","ijo",
"http://lexvo.org/id/iso639-3/ipk","ipk","ik"
"http://lexvo.org/id/iso639-3/iku","iku","iu"
"http://lexvo.org/id/iso639-3/ilo","ilo",
"http://lexvo.org/id/iso639-5/inc","inc",
"http://lexvo.org/id/iso639-3/inh","inh",
"http://lexvo.org/id/iso639-5/iro","iro",
"http://lexvo.org/id/iso639-3/nap","nap",
"http://lexvo.org/id/iso639-3/jav","jav","jv"
"http://lexvo.org/id/iso639-3/jbo","jbo",
"http://lexvo.org/id/iso639-3/kac","kac",
"http://lexvo.org/id/iso639-3/jpr","jpr",
"http://lexvo.org/id/iso639-3/jrb","jrb",
"http://lexvo.org/id/iso639-3/kaa","kaa",
"http://lexvo.org/id/iso639-3/kbd","kbd",
"http://lexvo.org/id/iso639-3/xal","xal",
"http://lexvo.org/id/iso639-3/kam","kam",
"http://lexvo.org/id/iso639-3/kan","kan","kn"
"http://lexvo.org/id/iso639-5/kar","kar",
"http://lexvo.org/id/iso639-3/krc","krc",
"http://lexvo.org/id/iso639-3/kas","kas","ks"
